Location	Bucket	Type	Visitor Count	Percentage
1 Bay St	Total visitors with CEL	CEL Distance	40325	
1 Bay St	Median distance traveled from CEL	CEL Distance	4.685647553162497	
1 Bay St	Lives within 1 mile of location	CEL Distance	7036	17.45%
1 Bay St	Lives between 1 and 2 miles	CEL Distance	5934	14.72%
1 Bay St	Lives between 2 and 3 miles	CEL Distance	2779	6.89%
1 Bay St	Lives between 3 and 5 miles	CEL Distance	4992	12.38%
1 Bay St	Lives between 5 and 10 miles	CEL Distance	6105	15.14%
1 Bay St	Lives between 10 and 25 miles	CEL Distance	5211	12.92%
1 Bay St	Lives between 25 and 50 miles	CEL Distance	1191	2.95%
1 Bay St	Lives between 50 and 100 miles	CEL Distance	610	1.51%
1 Bay St	Lives >100 miles away	CEL Distance	6467	16.04%
1 Bay St	Total visitors with CDL	CDL Distance	36899	
1 Bay St	Median distance traveled from CDL	CDL Distance	3.9111285584542417	
1 Bay St	Works within 1 mile of location	CDL Distance	7364	19.96%
1 Bay St	Works between 1 and 2 miles	CDL Distance	6513	17.65%
1 Bay St	Works between 2 and 3 miles	CDL Distance	2309	6.26%
1 Bay St	Works between 3 and 5 miles	CDL Distance	4243	11.50%
1 Bay St	Works between 5 and 10 miles	CDL Distance	5030	13.63%
1 Bay St	Works between 10 and 25 miles	CDL Distance	4274	11.58%
1 Bay St	Works between 25 and 50 miles	CDL Distance	965	2.62%
1 Bay St	Works between 50 and 100 miles	CDL Distance	460	1.25%
1 Bay St	Works >100 miles away	CDL Distance	5741	15.56%
1 Bay St	2000	Top CEL Zip Code	1828	4.53%
1 Bay St	2037	Top CEL Zip Code	1550	3.84%
1 Bay St	2010	Top CEL Zip Code	1320	3.27%
1 Bay St	2008	Top CEL Zip Code	1040	2.58%
1 Bay St	2007	Top CEL Zip Code	918	2.28%
1 Bay St	2042	Top CEL Zip Code	899	2.23%
1 Bay St	2017	Top CEL Zip Code	838	2.08%
1 Bay St	2016	Top CEL Zip Code	690	1.71%
1 Bay St	2204	Top CEL Zip Code	687	1.70%
1 Bay St	2009	Top CEL Zip Code	684	1.70%
1 Bay St	2040	Top CEL Zip Code	640	1.59%
1 Bay St	2050	Top CEL Zip Code	627	1.55%
1 Bay St	2011	Top CEL Zip Code	492	1.22%
1 Bay St	2020	Top CEL Zip Code	470	1.17%
1 Bay St	2015	Top CEL Zip Code	463	1.15%
1 Bay St	2205	Top CEL Zip Code	449	1.11%
1 Bay St	2038	Top CEL Zip Code	370	0.92%
1 Bay St	2131	Top CEL Zip Code	370	0.92%
1 Bay St	2049	Top CEL Zip Code	362	0.90%
1 Bay St	2043	Top CEL Zip Code	360	0.89%
1 Bay St	2000	Top CDL Zip Code	3801	10.30%
1 Bay St	2037	Top CDL Zip Code	1504	4.08%
1 Bay St	2010	Top CDL Zip Code	1306	3.54%
1 Bay St	2007	Top CDL Zip Code	1111	3.01%
1 Bay St	2008	Top CDL Zip Code	1030	2.79%
1 Bay St	2042	Top CDL Zip Code	664	1.80%
1 Bay St	2017	Top CDL Zip Code	605	1.64%
1 Bay St	2009	Top CDL Zip Code	597	1.62%
1 Bay St	2050	Top CDL Zip Code	540	1.46%
1 Bay St	2204	Top CDL Zip Code	539	1.46%
1 Bay St	2016	Top CDL Zip Code	521	1.41%
1 Bay St	2015	Top CDL Zip Code	502	1.36%
1 Bay St	2040	Top CDL Zip Code	492	1.33%
1 Bay St	2020	Top CDL Zip Code	468	1.27%
1 Bay St	2011	Top CDL Zip Code	364	0.99%
1 Bay St	2031	Top CDL Zip Code	346	0.94%
1 Bay St	2060	Top CDL Zip Code	340	0.92%
1 Bay St	2205	Top CDL Zip Code	296	0.80%
1 Bay St	2038	Top CDL Zip Code	294	0.80%
1 Bay St	2131	Top CDL Zip Code	294	0.80%
1 Bay St	11703133132	Top CEL Census Block Group	355	0.88%
1 Bay St	11703133513	Top CEL Census Block Group	293	0.73%
1 Bay St	11703133714	Top CEL Census Block Group	244	0.61%
1 Bay St	11703133120	Top CEL Census Block Group	143	0.35%
1 Bay St	11701132217	Top CEL Census Block Group	137	0.34%
1 Bay St	11703133452	Top CEL Census Block Group	130	0.32%
1 Bay St	11703133240	Top CEL Census Block Group	122	0.30%
1 Bay St	11703133728	Top CEL Census Block Group	120	0.30%
1 Bay St	11703133453	Top CEL Census Block Group	118	0.29%
1 Bay St	11703133832	Top CEL Census Block Group	110	0.27%
1 Bay St	11703133209	Top CEL Census Block Group	100	0.25%
1 Bay St	11703133518	Top CEL Census Block Group	94	0.23%
1 Bay St	11703133709	Top CEL Census Block Group	94	0.23%
1 Bay St	11703133254	Top CEL Census Block Group	89	0.22%
1 Bay St	11703133760	Top CEL Census Block Group	86	0.21%
1 Bay St	11703133126	Top CEL Census Block Group	84	0.21%
1 Bay St	11703133803	Top CEL Census Block Group	84	0.21%
1 Bay St	11703133129	Top CEL Census Block Group	81	0.20%
1 Bay St	12501147312	Top CEL Census Block Group	81	0.20%
1 Bay St	11703133133	Top CEL Census Block Group	73	0.18%
1 Bay St	11703133132	Top CDL Census Block Group	593	1.61%
1 Bay St	11703133714	Top CDL Census Block Group	342	0.93%
1 Bay St	11703133704	Top CDL Census Block Group	326	0.88%
1 Bay St	11703133751	Top CDL Census Block Group	292	0.79%
1 Bay St	11703133452	Top CDL Census Block Group	288	0.78%
1 Bay St	11703133746	Top CDL Census Block Group	281	0.76%
1 Bay St	11703133254	Top CDL Census Block Group	243	0.66%
1 Bay St	11703133513	Top CDL Census Block Group	237	0.64%
1 Bay St	11703133748	Top CDL Census Block Group	208	0.56%
1 Bay St	11703133729	Top CDL Census Block Group	192	0.52%
1 Bay St	11703133209	Top CDL Census Block Group	187	0.51%
1 Bay St	11703133747	Top CDL Census Block Group	155	0.42%
1 Bay St	11703133424	Top CDL Census Block Group	149	0.40%
1 Bay St	11703133760	Top CDL Census Block Group	149	0.40%
1 Bay St	12602150002	Top CDL Census Block Group	149	0.40%
1 Bay St	11703133727	Top CDL Census Block Group	142	0.38%
1 Bay St	11701132251	Top CDL Census Block Group	122	0.33%
1 Bay St	11703133240	Top CDL Census Block Group	117	0.32%
1 Bay St	11802156418	Top CDL Census Block Group	114	0.31%
1 Bay St	11703133728	Top CDL Census Block Group	111	0.30%
1 Bay St	17200	Top CEL Metro	11472	28.45%
1 Bay St	14170	Top CEL Metro	4678	11.60%
1 Bay St	11570	Top CEL Metro	2349	5.83%
1 Bay St	10500	Top CEL Metro	1812	4.49%
1 Bay St	16550	Top CEL Metro	968	2.40%
1 Bay St	16260	Top CEL Metro	944	2.34%
1 Bay St	12380	Top CEL Metro	924	2.29%
1 Bay St	11520	Top CEL Metro	853	2.12%
1 Bay St	10750	Top CEL Metro	746	1.85%
1 Bay St	12930	Top CEL Metro	647	1.60%
1 Bay St	16700	Top CEL Metro	628	1.56%
1 Bay St	15950	Top CEL Metro	569	1.41%
1 Bay St	14900	Top CEL Metro	541	1.34%
1 Bay St	15990	Top CEL Metro	515	1.28%
1 Bay St	12850	Top CEL Metro	476	1.18%
1 Bay St	18050	Top CEL Metro	476	1.18%
1 Bay St	17150	Top CEL Metro	464	1.15%
1 Bay St	17100	Top CEL Metro	364	0.90%
1 Bay St	11300	Top CEL Metro	342	0.85%
1 Bay St	18500	Top CEL Metro	341	0.85%
1 Bay St	17200	Top CDL Metro	12857	34.84%
1 Bay St	14170	Top CDL Metro	3484	9.44%
1 Bay St	11570	Top CDL Metro	1736	4.70%
1 Bay St	10500	Top CDL Metro	1462	3.96%
1 Bay St	16260	Top CDL Metro	870	2.36%
1 Bay St	16550	Top CDL Metro	843	2.28%
1 Bay St	12380	Top CDL Metro	749	2.03%
1 Bay St	15950	Top CDL Metro	686	1.86%
1 Bay St	16700	Top CDL Metro	648	1.76%
1 Bay St	10750	Top CDL Metro	614	1.66%
1 Bay St	11520	Top CDL Metro	584	1.58%
1 Bay St	12930	Top CDL Metro	519	1.41%
1 Bay St	15990	Top CDL Metro	454	1.23%
1 Bay St	12850	Top CDL Metro	440	1.19%
1 Bay St	18050	Top CDL Metro	431	1.17%
1 Bay St	18250	Top CDL Metro	430	1.17%
1 Bay St	14900	Top CDL Metro	400	1.08%
1 Bay St	17150	Top CDL Metro	366	0.99%
1 Bay St	16350	Top CDL Metro	295	0.80%
1 Bay St	17100	Top CDL Metro	295	0.80%
1 Bay St	CA	Top CEL State	210	0.52%
1 Bay St	NY	Top CEL State	122	0.30%
1 Bay St	FL	Top CEL State	73	0.18%
1 Bay St	HI	Top CEL State	70	0.17%
1 Bay St	TX	Top CEL State	49	0.12%
1 Bay St	MA	Top CEL State	33	0.08%
1 Bay St	NV	Top CEL State	31	0.08%
1 Bay St	IL	Top CEL State	29	0.07%
1 Bay St	NC	Top CEL State	21	0.05%
1 Bay St	WA	Top CEL State	21	0.05%
1 Bay St	DC	Top CEL State	20	0.05%
1 Bay St	NJ	Top CEL State	18	0.04%
1 Bay St	VA	Top CEL State	18	0.04%
1 Bay St	CO	Top CEL State	17	0.04%
1 Bay St	MD	Top CEL State	16	0.04%
1 Bay St	GA	Top CEL State	13	0.03%
1 Bay St	OH	Top CEL State	11	0.03%
1 Bay St	PA	Top CEL State	11	0.03%
1 Bay St	MI	Top CEL State	10	0.02%
1 Bay St	UT	Top CEL State	10	0.02%
1 Bay St	CA	Top CDL State	195	0.53%
1 Bay St	NY	Top CDL State	114	0.31%
1 Bay St	HI	Top CDL State	72	0.20%
1 Bay St	FL	Top CDL State	63	0.17%
1 Bay St	TX	Top CDL State	46	0.12%
1 Bay St	IL	Top CDL State	34	0.09%
1 Bay St	MA	Top CDL State	25	0.07%
1 Bay St	NV	Top CDL State	24	0.07%
1 Bay St	WA	Top CDL State	18	0.05%
1 Bay St	DC	Top CDL State	17	0.05%
1 Bay St	NC	Top CDL State	17	0.05%
1 Bay St	VA	Top CDL State	17	0.05%
1 Bay St	CO	Top CDL State	16	0.04%
1 Bay St	NJ	Top CDL State	16	0.04%
1 Bay St	MD	Top CDL State	15	0.04%
1 Bay St	GA	Top CDL State	14	0.04%
1 Bay St	UT	Top CDL State	12	0.03%
1 Bay St	IN	Top CDL State	11	0.03%
1 Bay St	OH	Top CDL State	10	0.03%
1 Bay St	CT	Top CDL State	9	0.02%
1 Bay St	AUS	Top CEL Country	36755	91.15%
1 Bay St	USA	Top CEL Country	908	2.25%
1 Bay St	IDN	Top CEL Country	288	0.71%
1 Bay St	SGP	Top CEL Country	204	0.51%
1 Bay St	THA	Top CEL Country	190	0.47%
1 Bay St	HKG	Top CEL Country	175	0.43%
1 Bay St	KOR	Top CEL Country	131	0.32%
1 Bay St	NZL	Top CEL Country	125	0.31%
1 Bay St	MYS	Top CEL Country	123	0.31%
1 Bay St	BRA	Top CEL Country	108	0.27%
1 Bay St	CHN	Top CEL Country	103	0.26%
1 Bay St	JPN	Top CEL Country	101	0.25%
1 Bay St	GBR	Top CEL Country	92	0.23%
1 Bay St	VNM	Top CEL Country	89	0.22%
1 Bay St	TWN	Top CEL Country	86	0.21%
1 Bay St	CAN	Top CEL Country	81	0.20%
1 Bay St	PHL	Top CEL Country	76	0.19%
1 Bay St	IND	Top CEL Country	68	0.17%
1 Bay St	COL	Top CEL Country	50	0.12%
1 Bay St	DEU	Top CEL Country	43	0.11%
1 Bay St	AUS	Top CDL Country	33672	91.25%
1 Bay St	USA	Top CDL Country	843	2.28%
1 Bay St	IDN	Top CDL Country	249	0.67%
1 Bay St	SGP	Top CDL Country	194	0.53%
1 Bay St	THA	Top CDL Country	185	0.50%
1 Bay St	HKG	Top CDL Country	144	0.39%
1 Bay St	KOR	Top CDL Country	115	0.31%
1 Bay St	NZL	Top CDL Country	110	0.30%
1 Bay St	JPN	Top CDL Country	108	0.29%
1 Bay St	MYS	Top CDL Country	102	0.28%
1 Bay St	BRA	Top CDL Country	95	0.26%
1 Bay St	CHN	Top CDL Country	86	0.23%
1 Bay St	TWN	Top CDL Country	84	0.23%
1 Bay St	GBR	Top CDL Country	80	0.22%
1 Bay St	VNM	Top CDL Country	76	0.21%
1 Bay St	PHL	Top CDL Country	74	0.20%
1 Bay St	CAN	Top CDL Country	71	0.19%
1 Bay St	IND	Top CDL Country	61	0.17%
1 Bay St	COL	Top CDL Country	44	0.12%
1 Bay St	FRA	Top CDL Country	34	0.09%
